	ID	tweet	label
1095	sw_train_01096	Utofauti wa mpangilio na mandhari ya makazi toka angani kwa maeneo yanayopakana Jijini Dar es Salaam Kushoto ni sehemu	neutral
1054	sw_train_01055	Angalia kwenye Hashtag imeelezwa ahsante	neutral
641	sw_train_00642	Lunch unapatia wapi Kwenye Menu yetu tuko na Makange ya KukunyamaSamaki Kuku Choma Wali Nazi Ugalie Ndizi Mzuzu	neutral
1803	sw_train_01804	Upendo wangu kwako ni kama safari unaanzia milele na kamwe hautokwisha	positive
813	sw_train_00814	UHURU MICHEZOUhuru Digital inawatakila kila la heri Klabu ya kwenye mchezo wake wa leo dhidi ya AS VITA CLUB Ligi ya Mabingwa Afrika huko Mjini Kinshasa nchini Kongo	neutral
745	sw_train_00746	Wajanja wote wa town wameshapata chanjo ya Uviko 19 Umebaki wewe tuu na kichwa chako kama mkate	neutral
1316	sw_train_01317	Kwa miaka zaidi ya kumi sasa nimekuwa mtu wa kulala kitandani usiku na mchana lakini pamoja na yote haya hakuna hata siku moja ambayo niliwahi kujisikia mpweke na sababu kuu ni kwamba nimezungukwa na familia na rafiki wanaonionyesha upendo wa dhati	positive
1681	sw_train_01682	Habari asante kwa kuchagua NMBkwa bonus akaunti unatakiwa kuwa na Kitambulisho cha kura au leseni ya udereva au pasi ya kusafiria au kitambulisho cha kazi au cha taifa barua ya utambulisho picha 2 za passport size zenye k	positive
1027	sw_train_01028	HUSIA KWA VIJANA WENZANGU Mwanamke akikupenda mpende kweli kwa upendo wa dhatimuheshimu na tuishi nao kwa akili sana Madhara ya kutokumpenda mwanamke kwa upendo wa dhati tutajikuta tukilea watoto wa wanaume wengine maana wanawake wanasiri nzito	neutral
840	sw_train_00841	Tanzania na Misri zimetia saini mkataba wa ujenzi wa kuzalisha umeme katika Bonde la Mto Rufiji na kushuhudiwa na rais JOHN POMBE MAGUFULI na waziri mkuu wa Misri MOSTAFA MADBOULY Soma zaidi gtgt	neutral
306	sw_train_00307	Nilijaribu mara ya kwanza wakanambia sitaweza Nikajaribu mara ya pili wengi wakasema nacheza Mara ya tatu marafiki wakanize	neutral
261	sw_train_00262	blue tick inakuhusu  watakuletea fedheha hawa siku	neutral
420	sw_train_00421	Ubinadamu kazi isiyokuwa na malipo	neutral
1774	sw_train_01775	Baadhi ya Wapwa Wamepata Mchongo Leo Little Ride na Smile Yes Kila mtu Anaeza Kuwa Influencer Ni Simple Dowload App ya	positive
1463	sw_train_01464	Sasa unaweza kulipia bili zako uwapo nyumbani kwakoNi rahisi piga 15022Jaribu leo	positive
1113	sw_train_01114	Ukiwa na safari ya ghafla kwenda mkoani na mabasi usiku hakuna usikate tamaa download App ya utakutana na gari inayo	neutral
1670	sw_train_01671	Katika kufanikisha hilo Serikali ya Awamu ya Tano inawekeza takribani Shilingi Bilioni 72 za fedha za walipakodi kut	positive
1200	sw_train_01201	Kama umekosa maadui basi upo mbali sana na mafanikio	neutral
1058	sw_train_01059	Waziri wa AfyaMaendeleo ya Jamii JinsiaWazee na Watoto akisoma makadirio ya matumizi ya Wizara yake leo http	neutral
691	sw_train_00692	Ile imefika wana Azaki walianza matembezi yao kuanzia shule ya Sekondari Dodoma mpaka ukumbi wa Jakaya K	neutral
44	sw_train_00045	Naibu Rais Iran aambukizwa virusi vya corona Nigeria yaripoti kisa kimoja via	negative
1404	sw_train_01405	Habari Aklei Asnate sana kwa ushauri wako Tutaufanyia kaziJ	positive
919	sw_train_00920	Vibubu vipo dukani 10000 WhatsApp 076672727 Join our WhatsApp group for more Tuko Mwenge	neutral
1628	sw_train_01629	Habari Ahsante kwa uvumilivu wako pole sana kwa changamoto uliyoipata Huduma ya internet sasa imerejea Tunaendelea kuomba radhi kwa usumbufu uliopataLL	positive
922	sw_train_00923	Muheshimiwa kwa majina naitwa Rahma Juma Salumu mwanafunzi wa shule kuu ya uandishi wa habari  UDSMSJMC N	neutral
904	sw_train_00905	Nimegundua tunafanya makosa mengi sana Tunafanya kazi nyingi sana lakini ni vitu vichache ambavyo tunavileta katika mi	neutral
