	ID	tweet	label
681	pcm_train_00682	buhari son kee hes probably well secured even agbero chairman piking dem na yankee dem dey	negative
1849	pcm_train_01850	how chelsea wan take win second half like this na na win either half i bet o crystal palace lite about to tear my ticket	negative
1817	pcm_train_01818	ken no fit make heaven sha	negative
3391	pcm_train_03392	lmaooooo na popsie dey settle quarrel that time na so policeman hit boda abayo barber during monthly environmental sanitation stuff a fi laiiiiiiiii boda abayo load am back street scatter again tear gas everywhere when they reinforced	positive
2142	pcm_train_02143	wow so you are married im also a married man that makes us compatible na dem ooo thunder fire your wandering shafts	negative
1939	pcm_train_01940	this one think say e smart e randomly enter dm dey hype me me know say na money so i reply like two messages as i notice say nothing dey to talk again i leave him last whines unread now money message don enter i go wait for like days before i reply	negative
1897	pcm_train_01898	una nor dey update for aftanun abi na us work una dey do	negative
3514	pcm_train_03515	that chips i bin dey chop for momo for your side kept me going mehn that soft golden bread and fish stew bin dey top up the chao god bless yall famms mehn i just miss childhood	positive
527	pcm_train_00528	upon all this likes na only subscribe tragic‍️ try and do am na i wont reach p secs to do and finish make una help me reach k subscribers na	negative
4740	pcm_train_04741	nls chronicles im in ethics class thinking of what to eat and how to pay for the food boom i remember say person fit chop on credit thank god for crown kitchen hustle oo no go dey chop on credit like me here	positive
748	pcm_train_00749	david luiz abi wetin b him name sef have never believed him with dat jorginho iranu	negative
3622	pcm_train_03623	ill probably cry when they play time flies siwezi kuwacha rhumba as i dey dancey jagajaga to my raga dem dey feel am	positive
2454	pcm_train_02455	abeg arsenal make una carry una wahala dey goim not doing again	negative
4227	pcm_train_04228	the next days is gon be fun never been this excited before una wey dey go leave before dey enjoy ooo	positive
5038	pcm_train_05039	seriously e be like say aunty vee don dey catch feelings o	positive
1365	pcm_train_01366	some people no dey text us again as them dey lockdown abeg after the lockdown make we keep the same energy ooo trailer will not jam us	negative
3234	pcm_train_03235	broke guy like us we no dey beg for mcm bcus our girlfriend gan no dey use us and if she does nah only us dey see ham kila wan baka ‍️	negative
210	pcm_train_00211	na me this house wan kill with work any small thing tiles don dirty i will run away to go and get strength to clean you	negative
2151	pcm_train_02152	shut up jooor na people like una no go let person breath thats how some knuckle heads in customs decided to send innocent ladies to dead zone cos they made a video im so tired of the way people of your generation think its freaking annoying	negative
3938	pcm_train_03939	if anybody dey wey i don offend in one way or the other make una please slide in my dm imma apologize either im at fault or youre at fault i go apologize and let all go its december thanks love always ️	positive
2763	pcm_train_02764	abeg where una dey find this relationship nawif na soap abeg cut small for me omo alot happened i don forget some sha we meuv‍️	negative
4060	pcm_train_04061	but youre very talented sir i no fit whine you na	positive
3024	pcm_train_03025	the one wey off me last year na one babe wey dey fully date two guys and leading like three other guys on dey ask me for money shock hol me so tey i wan ask her what about em mandem wey dey at her service	negative
2494	pcm_train_02495	nah person wey done chop belleful nah e dey think of education	negative
2192	pcm_train_02193	shame no dey catch u abi if na ur country d fight holdim sure at a point dem go take light for stadium and d fight go gat wait till dem on gen do and leave in peace in	negative
5076	pcm_train_05077	lol u cannot see my familys net worth cannot enter k e sure me corona con dey again one mouth don commot for their food niyen	positive
4239	pcm_train_04240	please help me hear wetin dis guy dey say	positive
4357	pcm_train_04358	wait oo shey d guy don offend dem b or y dem dey burst am on top bday like dis	positive
14	pcm_train_00015	yess ooo be like e don cancel trip sef sigh	negative
3936	pcm_train_03937	my broda out with a dope tune but as you dey pop champagne abeg give me some beer so that everybody go dey alright support good musiclink pon his bio	positive
40	pcm_train_00041	im in tears guys see how my customer is rocking her bag she made me so happy with this picture e choke abi e no choke lagos nigeria	negative
4972	pcm_train_04973	money go fit me	positive
3464	pcm_train_03465	your header na die	positive
4640	pcm_train_04641	hehe my guy hustle o dem no dey chop fine boy again	positive
73	pcm_train_00074	shebi na zanku wey i never perfect na im these hens are doing anyhow	negative
2492	pcm_train_02493	you no wan preach for the most high now you wan go pray to the most high for watin na ‍️ say you wan high like the most high	negative
2242	pcm_train_02243	yes so na hin wey i wan tell u though still some like my sistou already sent his guidance	neutral
3797	pcm_train_03798	all these foreign people with were updating our policy please sha no comot the small change wey we dey see for our mouth ẹ joor	positive
2042	pcm_train_02043	my padi make mouth to me i flog am o for fifa the real matter na hin be say he don cook and e no cook my own who go help us settle like this	negative
3388	pcm_train_03389	to get over her i havent seen my baby in that kind of situation my boy went offline and wasnt picking his calls wow na so e dey pain he said his chest is paining him the girl did him strong thing to the extent that i had to ban her name from this house that time	positive
2824	pcm_train_02825	nothing gives me joy like cracking a joke just to make my mum smilelaugh when shes angry with my siblings but omo sometimes e de back fire she de carry the joke personal sometimes	negative
1534	pcm_train_01535	dont mind the guy after all the money wey e dey make for writing e still want dey disturb us wey no get	negative
1485	pcm_train_01486	look up the word clown why are you making it look like he said something abominable if a white man calls you a clown im sure you will smile and tease him back but because na your naija brother you want to start reading deep meanings into it na wa for this country o	negative
393	pcm_train_00394	see as person dey miss better airdrops because of phone abeg who get android phone wah no dey in use	negative
