	ID	tweet	label
3252	twi_train_03253	lol you no dey bizz kraa ibi so😂	positive
3356	twi_train_03357	ei ruth ne brofo dier	positive
2506	twi_train_02507	these teams rn yagye sika yagye sika yagye sika yagye sika💰💸💵💶💷💴	positive
1502	twi_train_01503	ɛnti wu kɔ makola anaa kantamanto anaa agbogblishie dwa su aahɔmu ka english anaa	neutral
2062	twi_train_02063	3ne3 y3 fr3 wo agye s3 wo anka	positive
2904	twi_train_02905	nkati3 burger sef bi 120 pesewes only 12 p3 dey inside 😂😂😂😂😂💔💔💔💔💔	positive
904	twi_train_00905	wo y3 kwasia paaa 💔😂	negative
630	twi_train_00631	spartan dier anka emotions fa wo huŋ b3n	negative
1852	twi_train_01853	sika nkoaaaa the socialites of ghana 1 no	positive
3419	twi_train_03420	afe pa nko meto yen	positive
2927	twi_train_02928	ɛɛɛi wey matter too this ah lol nti boys ɛngyae shii anaaa peejay ask give me wae	positive
190	twi_train_00191	charlie wo kraa ad3n aa hoh	negative
1084	twi_train_01085	nana nso de3 anka bet fa woho b3n eeei koo bibini	negative
3206	twi_train_03207	wontumi wo nne3ma aa wose wo kahyire ny3😂😂😂	positive
223	twi_train_00224	man utd nyame b3 tua mu ka paaaaaaaaaa😭😭😭😭😭😭😭	negative
187	twi_train_00188	aden kuame eugene nu cy3 ninja gaiden anaa cos ei😭	negative
2524	twi_train_02525	me nka na waka sɛ me na mekae ooo😷😂	positive
1142	twi_train_01143	de3 wo de b3to mtn sim de3 anka fa twa bet	negative
2435	twi_train_02436	dede ayew nyɛ wo hweee	positive
1816	twi_train_01817	3nti me di33 me nkaho anaa	neutral
1882	twi_train_01883	10 peswas koraaa i go take	positive
2361	twi_train_02362	eb3 fa nana wo ni abotre so aaa sika duro nyame enka wo hu 🙏🏽	positive
3400	twi_train_03401	sumsum p3 nso hmm nyankopon ma yen ahoden 🙏🏾🙏🏾🥺🇬🇭 amen	positive
948	twi_train_00949	na me y3 borla girl ma wo anaaa 😂😂🤨😂😂😂😂	negative
899	twi_train_00900	me yem koraa hyehye me 😭😭😭	negative
2810	twi_train_02811	afe nko b3to y3n	positive
2777	twi_train_02778	eeiii kofi kakra kakra ana nofo nso kakra 😂😂	positive
2687	twi_train_02688	borsu borsu y3 b3 wu nti y3 nda 😂	positive
449	twi_train_00450	see pep ein bwoy akoayi asa	negative
148	twi_train_00149	bayifoɔ ne ho yɛ ne dɛ	negative
3135	twi_train_03136	akoa wɔ adwen k3se3 he want blow	positive
1579	twi_train_01580	nipa tietia a wato dmuhrrr gyes3 agradaaa na 3b3 titi net3m	neutral
3164	twi_train_03165	hahahaaa no pe saa p3p33p3	positive
616	twi_train_00617	peer pressure nti nka nifrani de3 spectacles fa woho b3n 🤣	negative
246	twi_train_00247	4 mooooore anaaa wose me ti tes3 kwadu 🤣	negative
233	twi_train_00234	kwasia yɛnkankyerɛ wo ansa 😂😂😂😂😂	negative
2796	twi_train_02797	🔥🔥🔥🔥🔥🔥🔥🔥🔥 anka mey3 nsuo wo k3nt3n mu koraaaa anka me nsaay3 medaso gyenam	positive
676	twi_train_00677	nipa foo bi nso ah	negative
519	twi_train_00520	ali di33 nanka date rush fa wo ho b3n wo di33 y3 aponkyi ni odwan	negative
2510	twi_train_02511	kyeres3 ahoufe teete me ☺️	positive
3207	twi_train_03208	milo ama black stars ay3 akonnor ankasa	positive
1214	twi_train_01215	nyame betua mo ka paa	negative
2639	twi_train_02640	wosii yesu kristo nkoaaa na b3 y3 de3n	positive
2320	twi_train_02321	tongue mu litmus paper nie🙌🏾	positive
3176	twi_train_03177	b3rma de3 wo si soaa we nampa 😒	positive
3423	twi_train_03424	porcupine warriors wo kum apem a apem bɛba ɛmu ɛdɛ yie❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤	positive
1652	twi_train_01653	as3m b3n na aba 🧐	neutral
3076	twi_train_03077	ade3 yi y3 akn 😍😍😍 if i get a hmmmm	positive
2823	twi_train_02824	asem yi di ka wo ka sua atem didie nkuaaa	positive
75	twi_train_00076	sika nahye sika no ahye 🤣🤣🤣💔	negative
1951	twi_train_01952	mmaa wo wiase o	positive
1224	twi_train_01225	3y3 a na moabodam ong nkwasiakeka saaa na ade akye	negative
490	twi_train_00491	herh gyae gyimie no	negative
943	twi_train_00944	fa wo jon k😒	negative
689	twi_train_00690	hwan nso na ablocki me w suro h no	negative
3042	twi_train_03043	masa yɛ steady wɔ hɔ	positive
708	twi_train_00709	gyae gyimie no na sore	negative
3404	twi_train_03405	ɔnyankopɔn apɔmuden mpaemuka nneɛma nyenaa a ɛfa nkwa ne onyamesom pa ho no yɛ me deɛ yareɛ ɔhaw ne amanea ɛni kyeɛfa wo ma brabɔ mu sɛ me yɛ ɔnyankopɔn ba yi nea me nim ne nea me hu yɛ onyankopɔn apomuden trenee asomdwoe ne anigyie wo onyame honhom kronkron mu aleluya	positive
1768	twi_train_01769	oh na may3 den	neutral
492	twi_train_00493	wa she me sika 😩	negative
945	twi_train_00946	gyimiii na wagyimiii u no talk ahm ur mind but u dey chop ahm u no go take ahm so u dey go flex	negative
1695	twi_train_01696	aden wo sua😹 y3nnkayer3wo ansa	neutral
37	twi_train_00038	akkoa yi ti ate oo 😂😂😂	negative
2243	twi_train_02244	feeling no y3 deeeeeep one minute biaaa na maaaaaaaaad tune nam mu	positive
1433	twi_train_01434	eeii na whan nie😹😹💔 wendy shay efia odo sakodie castro sam george 3tor	neutral
109	twi_train_00110	krom aye shi ooh aban tua salaries y3	negative
167	twi_train_00168	ahnnn eiii so me de3 😏🤒	negative
1946	twi_train_01947	yagye sika ooo yenso y3 time a so ooooo	positive
736	twi_train_00737	masa gyae gyimiii no jon	negative
3265	twi_train_03266	akoa ma adekyer3 y3 akono😂😂	positive
