	ID	tweet	label
556	ma_train_00557	ودادية حرة ولكن والله ما نصوت لبام صوتي للعدالة والتنمية	positive
1134	ma_train_01135	zwina besah li 9belha hsen	positive
672	ma_train_00673	ma kaynach 3o9oba 3la ntihar hit ma kaynch logique tabe3 wahed aslan ga3ma msewe9 le had denya	neutral
1041	ma_train_01042	kanchkor ga3 nass li 3aydoni be 3id miladi merci bzaff likom kanbrikom kamlin💐💐 et merci encore une fois	positive
4905	ma_train_04906	جبور رئيس قسم المعهد الوطني للجيوفيزياء لـ”كَود”: السيري ديال الهزات اللي تسجلات فعرض شواطئ الدريوش كانت غير منتظمة وحنا فحالة يقظة,	neutral
855	ma_train_00856	الله يبليك اكتر من بلوتهم ، و بنت بنكيران لالاك انتي الي دايراها فراسك و تتهدري عليها يالمنافقة اما احنا رزقنا عند الله ماشي عند احد من عباده	negative
3731	ma_train_03732	ترونات هاد الصباح فحي “أناسي” فكازا.. طوموبيلات صبحو مدكَدكَين والبوليس قرقب على 4 متهمين منهم 2 قاصرين,	neutral
2537	ma_train_02538	sa3datak d3i m3ana l3o9ba lina salom o bety	positive
4135	ma_train_04136	خبر سار لموظفي الصحة والأسر ديالهم..اتفاقية بين ايت الطالب والخليع باش تخفض ليهم اثمنة التذاكر فالتران لـ40 فالمائة,	neutral
89	ma_train_00090	hnaya mgharba ohobna li ihab mitl hobna li hanan bas iza ab3adat 3an lmoharij ya nas mahbitouch fhmoni	neutral
537	ma_train_00538	كضحك عليهم والله العظيم لحسن منك باش ما بغيتي اوجه البطبوطة هادوك رجال مشي بحالك كتساين جيم ديال الناس باش تاكل خبيز وفرماجة '	negative
3105	ma_train_03106	dik sa9a hdri m3ha rah ghadi ykono bzzaf la79ach starac taytab3oh hna bzzaf	neutral
128	ma_train_00129	hadi li khassha wissam machi dounia batma	neutral
860	ma_train_00861	أكثر من 340 مخالفة ترصدات بسباب زيادات ماشي قانونية فالأسعار ولجان مختلطة حجزات 100 طن من المواد الغذائية بيريمي وها شحال من مخالفة مشات للقضاء,	neutral
158	ma_train_00159	nta machi m3ana 7na lghlade ga3 😤	negative
563	ma_train_00564	اجواء ملعب الكامب نو الخرافية'	positive
2267	ma_train_02268	لتغيير مع منيب	positive
2516	ma_train_02517	لا يفلح الساحر حيث اتى اللعنة على المشعودين'	negative
1972	ma_train_01973	ان شاء الله يولع و نشوف ايات الله فيه دنيا و اخره ........ ولسه ان عذاب ربك لواقع'	positive
415	ma_train_00416	القوميين الإسبان فجزر كناريا ما عجبهمش الحال من بعد اكتشاف 2 مليار برميل ديال النفط فسواحل أكَادير,	neutral
3393	ma_train_03394	صباح الورد يا سعد المغاربة الاحرار لي مايدوزو عار!! انه خبر مفرح ان نسمع عن عمل لوالدك الفنان المحترم دو الصوت القوي الاصيل'	positive
4174	ma_train_04175	عندهم الحق و نوص شكون غدي و ضفوم الا موضفتمشي الدولة مشكلة حياتو مشات ف قراية و فاﻻخر يضيع	positive
4936	ma_train_04937	أبناك. “BKGR” : تفاقم العجز فوضعية الصرف,	neutral
