	ID	tweet	label
7010	ha_train_07011	@user Iyakacin bindigogin suka kama?😏	neutral
5608	ha_train_05609	@user 🤔🤔🤔 ko dai be tava cin kifi ba a duniya😃😃	neutral
11210	ha_train_11211	@user @user 🤔......@user Kayi kokari domin mun ‘yan kallo muke da godia irin nishadin da @user ya samar. Kudin Alhaji #Badamasi !! Amma maganar #AS yau zatai amfani “kudai kubi dunia a sannu” kuma ya shirya tasa ki-ti-mir-mirar.....💪💚✌️	positive
6932	ha_train_06933	@user Ibro Atiku! 🤓 Film ɗaya tak dana san na taɓa siya da kuɗina!	neutral
9601	ha_train_09602	@user @user Tabbas Gwamma El-rufai jajirtacce ne wajen ganin an sami zaman lafiya a Kaduna state da ƙasa bakiɗaya 🙏🏻🙏🏻🙏🏻	positive
5401	ha_train_05402	@user Toh ya ko kasan azuminta nawa yanxu 😂😂😂 https://t.co/hx3lvEpX8C	neutral
11731	ha_train_11732	@user @user @user Allah yasa dashi acikin shirin 😄😂	positive
633	ha_train_00634	@user Nigeria 🇳🇬 munji haushi	negative
9292	ha_train_09293	@user Wannan ai normal thing ne koni nasha yin haka tin Ina sch 😊	neutral
8242	ha_train_08243	@user So Idan tazo, riqe ta mutum zaiyi?🤔	neutral
3573	ha_train_03574	@user Saboda Corona Virus karya ce Musamman A Nigeria/Kano Yan Banza😂😂😂	negative
9016	ha_train_09017	@user Nifa ina tunani baawa malam adalci ba 😁	neutral
7734	ha_train_07735	@user Killama nine saurayin 👌	neutral
6027	ha_train_06028	@user toh bakincike kuke masa ne ko ko? 😂😂😂😂 So kuke ya fado?	neutral
6065	ha_train_06066	@user @user @user SU TAMBAYESHI TSAKANINSHI DA ALLAH IDAN SHINE BUHARIN GASKIYA🙌😥	neutral
3735	ha_train_03736	@user Nifa daman na dade da tsanan WHO din nan ☹️	negative
957	ha_train_00958	@user Abin haushin na da yawa😞	negative
11108	ha_train_11109	@user @user Ban ga laifin ka ba Baba, ALLAH ya kawo mana karshen wannan masifa.🤲	positive
12250	ha_train_12251	@user 🤔 Allah ya gafarta Mana bakidaya! Toooo subhanallah	positive
6134	ha_train_06135	@user Tab yaushe rabon jilan rakumi da kasa😁	neutral
4911	ha_train_04912	@user Mai kudi suke jira in baizo ba sai a koma ta nan 😂	neutral
1728	ha_train_01729	@user Kadan daga cikin aikin wannan Jaaaaaaaaaa😂😂	negative
12020	ha_train_12021	@user Hakan yayi min✌🏾	positive
4556	ha_train_04557	@user Mukam ko a kaduna/kano express sama da dubu sun daki juna 🏹	negative
4290	ha_train_04291	@user Anki a karasa din 🙄 Bayan duk garin yunwa sukeji babu shinkafa 😡😡	negative
13141	ha_train_13142	@user Juma’a Mubarak jaruma 🤣	positive
11718	ha_train_11719	@user Kullum se dai ace Allah y yafe batare d kuna gyarawa ba domin samun dacewa,kawai kuna tsula iya hege da iya hegiya kuce ALLAH ya yafe🙃😣😒😔	positive
3327	ha_train_03328	@user Badai barayin,shanuoba awoi wata akasa wlh, mutum 100,kuma duok barayi ok toh shanu nawa zasuo satane 😎😎😎😎👂	negative
3242	ha_train_03243	@user Aikin Banza Aikin Hofi. mtswwwww 🚶🚶🚶	negative
10059	ha_train_10060	@user Sai yanzu naji labari mai dadi ✊	positive
1599	ha_train_01600	@user Ga Italy ga Spain sukedabukata ba mu ba dan buhun uwarsu bama so gida bai koshiba a Kai waje kuwa kutayani dubawa🤔🤔🤔😥	negative
2144	ha_train_02145	@user Wa zai dafa min kuka a Lagos yau 😒?	negative
2709	ha_train_02710	@user Heatfulness 🤣🤣🤣🤣 @user come Nd see fa yaushe hatefulness ya koma heatfulness ? https://t.co/bHQaGaMme5	negative
12795	ha_train_12796	@user Masha Allh munanan xuwa. 😋😋	positive
13063	ha_train_13064	@user @user Nice one Mai gida👍	positive
8295	ha_train_08296	@user @user @user @user @user Kaiiii 🤔ya kamata muyi fa dube shi dan qarami dashi	neutral
7771	ha_train_07772	@user @user Mukan bamu samu kallo ba, ko da ankayi bamuda wutar NEPA🙄	neutral
4343	ha_train_04344	"@user """"""""""""""""""""""""""""""""Salam"""""""""""""""""""""""""""""""" babu Ita a addininmu, maybe a naki kk samo, fisararrriya 😒"	negative
5971	ha_train_05972	@user BBC Hausa sunkoma tallan maganin ma aurata 😂	neutral
